Year,chromium.org,apple.com,webkit.org,igalia.com,google.com,unknown,intel.com,samsung.com,gmail.com,rim.com,nokia.com,sony.com,bdash.net.nz,inf.u-szeged.hu,adobe.com,openbossa.org,digia.com,annevk.nl,motorola.com,torchmobile.com.cn
2001,0,517,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,2481,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,2136,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,0,1948,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,2310,335,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,3730,1058,111,0,567,0,0,3,0,0,0,119,0,0,0,0,0,0,0
2007,0,3414,1500,60,0,1530,0,0,221,0,0,0,492,0,0,0,0,0,0,0
2008,102,5759,2981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,1720,4852,5536,10,36,0,0,3,5,0,121,0,0,13,0,0,8,0,0,0
2010,5029,5376,8665,173,1040,0,0,8,13,16,628,0,0,26,0,9,10,0,0,0
2011,7985,6300,7998,702,1638,0,68,211,488,57,624,0,0,66,88,272,5,0,113,13
2012,11090,4902,5705,1293,1633,0,1486,854,1347,832,416,4,0,365,316,341,218,0,176,171
2013,2921,7726,3013,1245,383,0,328,1369,653,237,1,0,0,452,452,206,291,0,41,26
2014,9,8861,1648,1028,1,0,2,1127,183,0,1,0,0,57,333,36,1,0,1,0
2015,0,8529,1758,942,0,0,1,275,753,0,0,0,0,3,15,0,0,0,0,0
2016,1,9188,1466,1099,0,2,1,72,601,0,0,54,0,1,0,0,0,0,0,0
2017,16,8727,1134,1933,2,0,3,2,629,0,0,345,0,0,0,0,0,0,0,0
2018,66,6653,993,1501,0,0,2,0,470,0,0,574,0,0,0,0,0,0,0,0
2019,83,8420,889,1137,4,0,0,30,131,0,0,418,0,0,0,0,0,0,0,0
2020,128,9677,961,2147,0,0,0,36,224,0,0,512,0,0,0,0,0,0,0,0
2021,10,9512,1004,1488,0,0,0,21,127,0,0,433,0,0,0,0,0,0,0,0
2022,29,8922,1030,1373,0,0,0,7,538,0,0,390,0,0,0,0,0,3,0,0
2023,14,9819,796,1554,5,0,0,4,744,0,0,496,0,0,0,0,0,226,0,0
2024,0,7597,447,1406,0,0,0,0,470,0,0,326,0,0,0,0,0,203,0,0
