Year,gmail.com,intel.com,kernel.org,linaro.org,redhat.com,amd.com,huawei.com,google.com,samsung.com,linux-foundation.org,pengutronix.de,ti.com,mellanox.com,nvidia.com,ibm.com,suse.de,visionengravers.com,nxp.com,broadcom.com,davemloft.net
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2005,452,697,0,0,259,7,0,9,18,0,4,0,0,9,838,992,0,0,93,182
2006,1603,1002,1,0,937,39,0,36,51,0,15,3,4,43,1571,1588,0,0,152,129
2007,2465,1102,199,0,1097,65,0,112,30,589,5,8,1,30,1615,1230,0,2,157,43
2008,5795,2431,872,0,2471,459,2,133,10,1927,160,57,0,26,1893,1349,10,3,196,914
2009,5757,3522,721,0,3458,485,2,150,104,2320,431,453,1,28,1571,1921,134,5,399,483
2010,6503,2621,555,63,3796,444,1,280,767,1974,591,987,0,29,1098,1311,108,1,545,478
2011,5387,3602,526,980,4048,433,0,476,819,2140,401,1828,29,273,1102,1178,61,0,1511,790
2012,6104,5015,835,2171,4502,598,87,877,1294,2329,370,2432,72,722,1209,1017,1484,0,563,708
2013,5933,5715,1132,4735,4008,722,676,830,2907,2117,477,2131,212,906,1657,994,1551,0,730,532
2014,8764,7021,1514,2932,4845,677,393,864,2803,2130,538,1567,375,670,1489,1292,1631,3,284,925
2015,8289,8087,2504,2661,3760,1172,572,927,2547,2047,524,1189,773,514,1494,1236,772,3,361,998
2016,7426,8454,2125,2664,4329,1908,963,1185,1618,2302,362,1003,1240,760,1689,866,271,602,668,1151
2017,8512,7275,2514,1843,3992,3524,923,1536,750,2313,446,877,1743,419,2016,967,23,746,616,1439
2018,7574,6248,2564,1993,4605,3268,1859,1615,481,2189,401,613,2410,352,2204,930,0,986,424,1424
2019,8493,7396,3582,1962,3923,3824,2728,1905,309,2395,477,849,2164,711,1729,1300,0,1285,382,1212
2020,7890,7125,7521,3024,4380,3840,3495,2240,394,2645,523,1005,1633,1373,1848,1567,0,1604,415,1130
2021,9010,7357,6795,3007,3662,3543,3465,2843,309,2417,742,410,28,2330,1356,1299,0,1261,314,1042
2022,7498,7715,6949,3555,3725,4103,3613,3192,242,2637,1435,267,1,2182,1118,954,0,1179,262,545
2023,5510,8967,8044,5360,3862,4340,2179,3228,234,2538,2641,615,1,2059,1272,1127,0,866,433,426
2024,2808,5756,4940,2173,1974,2544,753,1617,138,2008,669,470,0,773,676,609,0,481,276,193
