Year,chromium.org,google.com,gserviceaccount.com,apple.com,igalia.com,opera.com,microsoft.com,samsung.com,gmail.com,intel.com,januschka.com,yandex-team.ru,bytedance.com,ucsbalum.com,tambre.ee,lge.com,vewd.com,yoav.ws,martijnc.be,mwiacek.com
2001,0,0,0,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,2204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,0,0,0,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,0,2681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,5596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,7350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,5442,0,8842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,22744,0,12367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,25751,0,21079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,35827,0,26984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,0,48040,0,31923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,279,54564,0,23352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,21531,38106,0,14499,37,804,0,1090,128,236,0,48,0,0,0,0,0,26,0,0
2015,63141,2736,0,0,115,2102,3,1314,493,779,0,135,0,0,0,4,0,102,5,0
2016,67018,2480,0,0,205,1468,0,632,447,792,0,247,0,0,0,4,0,55,99,0
2017,76248,5356,47,0,234,1032,0,702,357,787,0,267,0,0,0,123,49,20,23,25
2018,71785,8237,9235,0,639,774,25,644,406,564,0,189,0,0,4,117,106,15,1,97
2019,71176,11422,18260,0,3790,555,1564,173,350,545,0,85,0,0,158,83,34,0,0,83
2020,68569,16650,20883,0,2142,362,1798,177,439,353,0,58,4,1,50,48,66,0,0,0
2021,63232,20357,25658,0,2205,273,1513,83,513,299,0,56,259,30,0,23,27,0,0,0
2022,64037,29209,34601,0,2252,129,910,91,495,394,0,35,106,212,0,43,23,0,0,0
2023,66654,40166,41862,0,1655,292,882,193,926,632,13,30,68,0,0,26,6,0,0,0
2024,47229,30985,30905,0,735,255,1601,71,445,544,298,14,65,0,0,38,0,0,0,0
